bopomofo,bopomofo_non_accent,pinyin,pinyin_non_accent
ㄗㄨㄟ,ㄗㄨㄟ,zui,zui
ㄗㄨㄟˇ,ㄗㄨㄟ,zui3,zui
ㄗㄨㄟˋ,ㄗㄨㄟ,zui4,zui
ㄗㄨㄣ,ㄗㄨㄣ,zun,zun
ㄗㄨㄣˇ,ㄗㄨㄣ,zun3,zun
ㄗㄨㄣˋ,ㄗㄨㄣ,zun4,zun
ㄗㄨㄛ,ㄗㄨㄛ,zuo,zuo
ㄗㄨㄛˊ,ㄗㄨㄛ,zuo2,zuo
ㄗㄨㄛˇ,ㄗㄨㄛ,zuo3,zuo
ㄗㄨㄛˋ,ㄗㄨㄛ,zuo4,zuo
˙ㄗㄨㄛ,ㄗㄨㄛ,zuo5,zuo
